nct_id,drug_mesh,cond_mesh,mesh_type
NCT00555776,Gabapentin,Sensation Disorders,mesh-ancestor
NCT00555776,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00555776,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00533455,Gabapentin,Tremor,mesh-list
NCT00533455,Gabapentin,Dyskinesias,mesh-ancestor
NCT00533455,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00533455,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00537940,Gabapentin,Epilepsy,mesh-list
NCT00537940,Gabapentin,Seizures,mesh-list
NCT00537940,Gabapentin,"Epilepsies, Partial",mesh-list
NCT00537940,Gabapentin,"Epilepsy, Complex Partial",mesh-list
NCT00537940,Gabapentin,Disease,mesh-list
NCT00537940,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00537940,Gabapentin,Brain Diseases,mesh-ancestor
NCT00537940,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT00537940,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00537940,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00511953,Gabapentin,Hot Flashes,mesh-list
NCT00395044,Gabapentin,Marijuana Abuse,mesh-list
NCT00395044,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00395044,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00395044,Gabapentin,Mental Disorders,mesh-ancestor
NCT00420771,Gabapentin,Opioid-Related Disorders,mesh-list
NCT00420771,Gabapentin,Narcotic-Related Disorders,mesh-ancestor
NCT00420771,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00420771,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00420771,Gabapentin,Mental Disorders,mesh-ancestor
NCT00475904,Gabapentin,Neuralgia,mesh-list
NCT00475904,Gabapentin,"Neuralgia, Postherpetic",mesh-list
NCT00475904,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00475904,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00475904,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00475904,Gabapentin,Pain,mesh-ancestor
NCT00475904,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00414466,Gabapentin,"Pain, Intractable",mesh-list
NCT00414466,Gabapentin,Pain,mesh-ancestor
NCT00414466,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00391716,Gabapentin,Alcoholism,mesh-list
NCT00391716,Gabapentin,Alcohol-Related Disorders,mesh-ancestor
NCT00391716,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00391716,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00391716,Gabapentin,Mental Disorders,mesh-ancestor
NCT00390013,Gabapentin,Vulvodynia,mesh-list
NCT00390013,Gabapentin,Vulvar Diseases,mesh-ancestor
NCT00385671,Gabapentin,Neuralgia,mesh-list
NCT00385671,Gabapentin,Diabetic Neuropathies,mesh-list
NCT00385671,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00385671,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00385671,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00385671,Gabapentin,Pain,mesh-ancestor
NCT00385671,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00385671,Gabapentin,Diabetes Complications,mesh-ancestor
NCT00385671,Gabapentin,Diabetes Mellitus,mesh-ancestor
NCT00385671,Gabapentin,Endocrine System Diseases,mesh-ancestor
NCT00262639,Gabapentin,Alcoholism,mesh-list
NCT00262639,Gabapentin,Alcohol-Related Disorders,mesh-ancestor
NCT00262639,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00262639,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00262639,Gabapentin,Mental Disorders,mesh-ancestor
NCT00317850,Gabapentin,Tinnitus,mesh-list
NCT00317850,Gabapentin,Hearing Disorders,mesh-ancestor
NCT00317850,Gabapentin,Ear Diseases,mesh-ancestor
NCT00317850,Gabapentin,Otorhinolaryngologic Diseases,mesh-ancestor
NCT00317850,Gabapentin,Sensation Disorders,mesh-ancestor
NCT00317850,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00317850,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00312260,Gabapentin,Neuralgia,mesh-list
NCT00312260,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00312260,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00312260,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00312260,Gabapentin,Pain,mesh-ancestor
NCT00312260,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00276081,Gabapentin,Hot Flashes,mesh-list
NCT00257270,Gabapentin,Tinnitus,mesh-list
NCT00257270,Gabapentin,Hearing Disorders,mesh-ancestor
NCT00257270,Gabapentin,Ear Diseases,mesh-ancestor
NCT00257270,Gabapentin,Otorhinolaryngologic Diseases,mesh-ancestor
NCT00257270,Gabapentin,Sensation Disorders,mesh-ancestor
NCT00257270,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00257270,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00335933,Gabapentin,Neuralgia,mesh-list
NCT00335933,Gabapentin,"Neuralgia, Postherpetic",mesh-list
NCT00335933,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00335933,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00335933,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00335933,Gabapentin,Pain,mesh-ancestor
NCT00335933,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00279487,Gabapentin,,
NCT00250744,Gabapentin,Nausea,mesh-list
NCT00250744,Gabapentin,Vomiting,mesh-list
NCT00250744,Gabapentin,"Signs and Symptoms, Digestive",mesh-ancestor
NCT00221338,Gabapentin,Delirium,mesh-list
NCT00221338,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00221338,Gabapentin,Confusion,mesh-ancestor
NCT00221338,Gabapentin,Neurobehavioral Manifestations,mesh-ancestor
NCT00221338,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00221338,Gabapentin,Neurocognitive Disorders,mesh-ancestor
NCT00221338,Gabapentin,Mental Disorders,mesh-ancestor
NCT00209885,Gabapentin,Cholecystolithiasis,mesh-list
NCT00209885,Gabapentin,Cholelithiasis,mesh-list
NCT00209885,Gabapentin,Gallstones,mesh-list
NCT00209885,Gabapentin,Biliary Tract Diseases,mesh-ancestor
NCT00209885,Gabapentin,Digestive System Diseases,mesh-ancestor
NCT00209885,Gabapentin,Gallbladder Diseases,mesh-ancestor
NCT00209885,Gabapentin,Calculi,mesh-ancestor
NCT00209885,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT00236223,Gabapentin,"Pain, Postoperative",mesh-list
NCT00236223,Gabapentin,Postoperative Complications,mesh-ancestor
NCT00236223,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00236223,Gabapentin,Pain,mesh-ancestor
NCT00236223,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00229125,Gabapentin,Syndrome,mesh-list
NCT00229125,Gabapentin,Substance Withdrawal Syndrome,mesh-list
NCT00229125,Gabapentin,Disease,mesh-ancestor
NCT00229125,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00229125,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00229125,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00229125,Gabapentin,Mental Disorders,mesh-ancestor
NCT00218374,Gabapentin,Hyperalgesia,mesh-list
NCT00218374,Gabapentin,Opioid-Related Disorders,mesh-list
NCT00218374,Gabapentin,Somatosensory Disorders,mesh-ancestor
NCT00218374,Gabapentin,Sensation Disorders,mesh-ancestor
NCT00218374,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00218374,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00218374,Gabapentin,Narcotic-Related Disorders,mesh-ancestor
NCT00218374,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00218374,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00218374,Gabapentin,Mental Disorders,mesh-ancestor
NCT00187707,Gabapentin,,
NCT00209872,Gabapentin,,
NCT00183196,Gabapentin,Alcoholism,mesh-list
NCT00183196,Gabapentin,Alcohol-Related Disorders,mesh-ancestor
NCT00183196,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00183196,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00183196,Gabapentin,Mental Disorders,mesh-ancestor
NCT00189072,Gabapentin,Neuralgia,mesh-list
NCT00189072,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00189072,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00189072,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00189072,Gabapentin,Pain,mesh-ancestor
NCT00189072,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00163046,Gabapentin,Sleep Initiation and Maintenance Disorders,mesh-list
NCT00163046,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT00163046,Gabapentin,Dyssomnias,mesh-ancestor
NCT00163046,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT00163046,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00163046,Gabapentin,Mental Disorders,mesh-ancestor
NCT00169013,Gabapentin,,
NCT00153283,Gabapentin,Asthma,mesh-list
NCT00153283,Gabapentin,Bronchial Diseases,mesh-ancestor
NCT00153283,Gabapentin,Respiratory Tract Diseases,mesh-ancestor
NCT00153283,Gabapentin,"Lung Diseases, Obstructive",mesh-ancestor
NCT00153283,Gabapentin,Lung Diseases,mesh-ancestor
NCT00153283,Gabapentin,Respiratory Hypersensitivity,mesh-ancestor
NCT00153283,Gabapentin,"Hypersensitivity, Immediate",mesh-ancestor
NCT00153283,Gabapentin,Hypersensitivity,mesh-ancestor
NCT00153283,Gabapentin,Immune System Diseases,mesh-ancestor
NCT00137735,Gabapentin,Carpal Tunnel Syndrome,mesh-list
NCT00137735,Gabapentin,Syndrome,mesh-list
NCT00137735,Gabapentin,Disease,mesh-ancestor
NCT00137735,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00137735,Gabapentin,Median Neuropathy,mesh-ancestor
NCT00137735,Gabapentin,Mononeuropathies,mesh-ancestor
NCT00137735,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00137735,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00137735,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00137735,Gabapentin,Nerve Compression Syndromes,mesh-ancestor
NCT00137735,Gabapentin,Cumulative Trauma Disorders,mesh-ancestor
NCT00137735,Gabapentin,Sprains and Strains,mesh-ancestor
NCT00137735,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT00112138,Gabapentin,Hot Flashes,mesh-list
NCT00058890,Gabapentin,Liver Diseases,mesh-list
NCT00058890,Gabapentin,Cholestasis,mesh-list
NCT00058890,Gabapentin,Pruritus,mesh-list
NCT00058890,Gabapentin,Fibrosis,mesh-list
NCT00058890,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00058890,Gabapentin,Digestive System Diseases,mesh-ancestor
NCT00058890,Gabapentin,Skin Diseases,mesh-ancestor
NCT00058890,Gabapentin,Skin Manifestations,mesh-ancestor
NCT00058890,Gabapentin,Bile Duct Diseases,mesh-ancestor
NCT00058890,Gabapentin,Biliary Tract Diseases,mesh-ancestor
NCT00108550,Gabapentin,Back Pain,mesh-list
NCT00108550,Gabapentin,Low Back Pain,mesh-list
NCT00108550,Gabapentin,Pain,mesh-ancestor
NCT00108550,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00087399,Gabapentin,Breast Neoplasms,mesh-list
NCT00087399,Gabapentin,Hot Flashes,mesh-list
NCT00087399,Gabapentin,Neoplasms by Site,mesh-ancestor
NCT00087399,Gabapentin,Neoplasms,mesh-ancestor
NCT00087399,Gabapentin,Breast Diseases,mesh-ancestor
NCT00087399,Gabapentin,Skin Diseases,mesh-ancestor
NCT00057278,Gabapentin,Fibromyalgia,mesh-list
NCT00057278,Gabapentin,Myofascial Pain Syndromes,mesh-list
NCT00057278,Gabapentin,Muscular Diseases,mesh-ancestor
NCT00057278,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT00057278,Gabapentin,Rheumatic Diseases,mesh-ancestor
NCT00057278,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00057278,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00028574,Gabapentin,Prostatic Neoplasms,mesh-list
NCT00028574,Gabapentin,Hot Flashes,mesh-list
NCT00028574,Gabapentin,"Genital Neoplasms, Male",mesh-ancestor
NCT00028574,Gabapentin,Urogenital Neoplasms,mesh-ancestor
NCT00028574,Gabapentin,Neoplasms by Site,mesh-ancestor
NCT00028574,Gabapentin,Neoplasms,mesh-ancestor
NCT00028574,Gabapentin,Prostatic Diseases,mesh-ancestor
NCT00011297,Gabapentin,Alcoholism,mesh-list
NCT00011297,Gabapentin,Alcohol-Related Disorders,mesh-ancestor
NCT00011297,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT00011297,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00011297,Gabapentin,Mental Disorders,mesh-ancestor
NCT00027963,Gabapentin,Peripheral Nervous System Diseases,mesh-list
NCT00027963,Gabapentin,Neurotoxicity Syndromes,mesh-list
NCT00027963,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00027963,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00027963,Gabapentin,Poisoning,mesh-ancestor
NCT00027963,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00018291,Gabapentin,Alzheimer Disease,mesh-list
NCT00018291,Gabapentin,Dementia,mesh-list
NCT00018291,Gabapentin,Brain Diseases,mesh-ancestor
NCT00018291,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT00018291,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00018291,Gabapentin,Tauopathies,mesh-ancestor
NCT00018291,Gabapentin,Neurodegenerative Diseases,mesh-ancestor
NCT00018291,Gabapentin,Neurocognitive Disorders,mesh-ancestor
NCT00018291,Gabapentin,Mental Disorders,mesh-ancestor
NCT04523935,Gabapentin,Cerebral Palsy,mesh-list
NCT04523935,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT04523935,Gabapentin,"Brain Damage, Chronic",mesh-ancestor
NCT04523935,Gabapentin,Brain Diseases,mesh-ancestor
NCT04523935,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT03472521,Gabapentin,Puerperal Disorders,mesh-list
NCT03472521,Gabapentin,Chronic Pain,mesh-list
NCT03472521,Gabapentin,Pain,mesh-ancestor
NCT03472521,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03472521,Gabapentin,Pregnancy Complications,mesh-ancestor
NCT05076110,Gabapentin,,
NCT05064319,Gabapentin,Disease,mesh-list
NCT05064319,Gabapentin,Marijuana Abuse,mesh-list
NCT05064319,Gabapentin,Bipolar Disorder,mesh-list
NCT05064319,Gabapentin,Psychotic Disorders,mesh-list
NCT05064319,Gabapentin,Pathologic Processes,mesh-ancestor
NCT05064319,Gabapentin,Bipolar and Related Disorders,mesh-ancestor
NCT05064319,Gabapentin,Mental Disorders,mesh-ancestor
NCT05064319,Gabapentin,Substance-Related Disorders,mesh-ancestor
NCT05064319,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT05064319,Gabapentin,Schizophrenia Spectrum and Other Psychotic Disorders,mesh-ancestor
NCT04860141,Gabapentin,Sensation Disorders,mesh-list
NCT04860141,Gabapentin,"Pain, Postoperative",mesh-list
NCT04860141,Gabapentin,Postoperative Complications,mesh-ancestor
NCT04860141,Gabapentin,Pathologic Processes,mesh-ancestor
NCT04860141,Gabapentin,Pain,mesh-ancestor
NCT04860141,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04860141,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT04802967,Gabapentin,,
NCT04805827,Gabapentin,,
NCT04766229,Gabapentin,,
NCT04724252,Gabapentin,"Pain, Postoperative",mesh-list
NCT04724252,Gabapentin,Postoperative Complications,mesh-ancestor
NCT04724252,Gabapentin,Pathologic Processes,mesh-ancestor
NCT04724252,Gabapentin,Pain,mesh-ancestor
NCT04724252,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04700592,Gabapentin,Chronic Pain,mesh-list
NCT04700592,Gabapentin,Hernia,mesh-list
NCT04700592,Gabapentin,"Hernia, Inguinal",mesh-list
NCT04700592,Gabapentin,Pain,mesh-ancestor
NCT04700592,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04700592,Gabapentin,"Pathological Conditions, Anatomical",mesh-ancestor
NCT04700592,Gabapentin,"Hernia, Abdominal",mesh-ancestor
NCT04620720,Gabapentin,"Pain, Postoperative",mesh-list
NCT04620720,Gabapentin,Postoperative Complications,mesh-ancestor
NCT04620720,Gabapentin,Pathologic Processes,mesh-ancestor
NCT04620720,Gabapentin,Pain,mesh-ancestor
NCT04620720,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04606264,Gabapentin,,
NCT04570436,Gabapentin,Substance-Related Disorders,mesh-list
NCT04570436,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT04570436,Gabapentin,Mental Disorders,mesh-ancestor
NCT04491786,Gabapentin,,
NCT04429022,Gabapentin,"Pain, Postoperative",mesh-list
NCT04429022,Gabapentin,Postoperative Complications,mesh-ancestor
NCT04429022,Gabapentin,Pathologic Processes,mesh-ancestor
NCT04429022,Gabapentin,Pain,mesh-ancestor
NCT04429022,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04429347,Gabapentin,Sleep Initiation and Maintenance Disorders,mesh-list
NCT04429347,Gabapentin,Chronic Pain,mesh-list
NCT04429347,Gabapentin,Pain,mesh-ancestor
NCT04429347,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04429347,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT04429347,Gabapentin,Dyssomnias,mesh-ancestor
NCT04429347,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT04429347,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT04429347,Gabapentin,Mental Disorders,mesh-ancestor
NCT04285281,Gabapentin,Carpal Tunnel Syndrome,mesh-list
NCT04285281,Gabapentin,Syndrome,mesh-list
NCT04285281,Gabapentin,Disease,mesh-ancestor
NCT04285281,Gabapentin,Pathologic Processes,mesh-ancestor
NCT04285281,Gabapentin,Median Neuropathy,mesh-ancestor
NCT04285281,Gabapentin,Mononeuropathies,mesh-ancestor
NCT04285281,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT04285281,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT04285281,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT04285281,Gabapentin,Nerve Compression Syndromes,mesh-ancestor
NCT04285281,Gabapentin,Cumulative Trauma Disorders,mesh-ancestor
NCT04285281,Gabapentin,Sprains and Strains,mesh-ancestor
NCT04285281,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT04176419,Gabapentin,"Pain, Postoperative",mesh-list
NCT04176419,Gabapentin,Postoperative Complications,mesh-ancestor
NCT04176419,Gabapentin,Pathologic Processes,mesh-ancestor
NCT04176419,Gabapentin,Pain,mesh-ancestor
NCT04176419,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04148846,Gabapentin,Post-Dural Puncture Headache,mesh-list
NCT04148846,Gabapentin,Headache,mesh-list
NCT04148846,Gabapentin,Pain,mesh-ancestor
NCT04148846,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT04148846,Gabapentin,"Headache Disorders, Secondary",mesh-ancestor
NCT04148846,Gabapentin,Headache Disorders,mesh-ancestor
NCT04148846,Gabapentin,Brain Diseases,mesh-ancestor
NCT04148846,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT04148846,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT04003350,Gabapentin,Osteoarthritis,mesh-list
NCT04003350,Gabapentin,"Osteoarthritis, Knee",mesh-list
NCT04003350,Gabapentin,Arthritis,mesh-ancestor
NCT04003350,Gabapentin,Joint Diseases,mesh-ancestor
NCT04003350,Gabapentin,Musculoskeletal Diseases,mesh-ancestor
NCT04003350,Gabapentin,Rheumatic Diseases,mesh-ancestor
NCT03859102,Gabapentin,Coronary Artery Disease,mesh-list
NCT03859102,Gabapentin,Aortic Valve Disease,mesh-list
NCT03859102,Gabapentin,Coronary Disease,mesh-ancestor
NCT03859102,Gabapentin,Myocardial Ischemia,mesh-ancestor
NCT03859102,Gabapentin,Heart Diseases,mesh-ancestor
NCT03859102,Gabapentin,Cardiovascular Diseases,mesh-ancestor
NCT03859102,Gabapentin,Arteriosclerosis,mesh-ancestor
NCT03859102,Gabapentin,Arterial Occlusive Diseases,mesh-ancestor
NCT03859102,Gabapentin,Vascular Diseases,mesh-ancestor
NCT03859102,Gabapentin,Heart Valve Diseases,mesh-ancestor
NCT03826615,Gabapentin,Hyperalgesia,mesh-list
NCT03826615,Gabapentin,Cataract,mesh-list
NCT03826615,Gabapentin,Lens Diseases,mesh-ancestor
NCT03826615,Gabapentin,Eye Diseases,mesh-ancestor
NCT03826615,Gabapentin,Somatosensory Disorders,mesh-ancestor
NCT03826615,Gabapentin,Sensation Disorders,mesh-ancestor
NCT03826615,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03826615,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03818919,Gabapentin,Rotator Cuff Injuries,mesh-list
NCT03818919,Gabapentin,Rupture,mesh-ancestor
NCT03818919,Gabapentin,Wounds and Injuries,mesh-ancestor
NCT03818919,Gabapentin,Shoulder Injuries,mesh-ancestor
NCT03818919,Gabapentin,Tendon Injuries,mesh-ancestor
NCT03820193,Gabapentin,,
NCT03806530,Gabapentin,Psychomotor Agitation,mesh-list
NCT03806530,Gabapentin,Restless Legs Syndrome,mesh-list
NCT03806530,Gabapentin,"Kidney Failure, Chronic",mesh-list
NCT03806530,Gabapentin,Syndrome,mesh-list
NCT03806530,Gabapentin,Disease,mesh-ancestor
NCT03806530,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03806530,Gabapentin,Kidney Diseases,mesh-ancestor
NCT03806530,Gabapentin,Urologic Diseases,mesh-ancestor
NCT03806530,Gabapentin,"Renal Insufficiency, Chronic",mesh-ancestor
NCT03806530,Gabapentin,Renal Insufficiency,mesh-ancestor
NCT03806530,Gabapentin,Dyskinesias,mesh-ancestor
NCT03806530,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03806530,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03806530,Gabapentin,Psychomotor Disorders,mesh-ancestor
NCT03806530,Gabapentin,Neurobehavioral Manifestations,mesh-ancestor
NCT03806530,Gabapentin,"Sleep Disorders, Intrinsic",mesh-ancestor
NCT03806530,Gabapentin,Dyssomnias,mesh-ancestor
NCT03806530,Gabapentin,Sleep Wake Disorders,mesh-ancestor
NCT03806530,Gabapentin,Parasomnias,mesh-ancestor
NCT03806530,Gabapentin,Mental Disorders,mesh-ancestor
NCT03750773,Gabapentin,"Pain, Postoperative",mesh-list
NCT03750773,Gabapentin,Postoperative Complications,mesh-ancestor
NCT03750773,Gabapentin,Pathologic Processes,mesh-ancestor
NCT03750773,Gabapentin,Pain,mesh-ancestor
NCT03750773,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT03747562,Gabapentin,Head and Neck Neoplasms,mesh-list
NCT03747562,Gabapentin,Neuralgia,mesh-list
NCT03747562,Gabapentin,Neoplasms by Site,mesh-ancestor
NCT03747562,Gabapentin,Neoplasms,mesh-ancestor
NCT03747562,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT03747562,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT03747562,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT03747562,Gabapentin,Pain,mesh-ancestor
